epoch,epoch_time,lr-SparseLamb/pg1,lr-SparseLamb/pg2,step,train_loss,val_loss,val_r2
,,0.002,0.002,183,,,
0,,,,183,2.575972557067871,,
,,0.002,0.002,184,,,
0,,,,184,4.994236946105957,,
,,0.002,0.002,185,,,
0,,,,185,2.2270700931549072,,
,,0.002,0.002,186,,,
0,,,,186,3.9441168308258057,,
,,0.002,0.002,187,,,
0,,,,187,2.505449056625366,,
,,0.002,0.002,188,,,
0,,,,188,3.3072922229766846,,
,,0.002,0.002,189,,,
0,,,,189,2.9039483070373535,,
,,0.002,0.002,190,,,
0,,,,190,2.5831141471862793,,
,,0.002,0.002,191,,,
0,,,,191,2.4982120990753174,,
,,0.002,0.002,192,,,
0,,,,192,4.501565933227539,,
,,0.002,0.002,193,,,
0,,,,193,2.4578146934509277,,
,,0.002,0.002,194,,,
0,,,,194,3.9304070472717285,,
,,0.002,0.002,195,,,
0,,,,195,4.742762088775635,,
,,0.002,0.002,196,,,
0,,,,196,4.637145519256592,,
,,0.002,0.002,197,,,
0,,,,197,2.9133756160736084,,
,,0.002,0.002,198,,,
0,,,,198,2.9543228149414062,,
,,0.002,0.002,199,,,
0,,,,199,2.8046936988830566,,
,,0.002,0.002,200,,,
0,,,,200,2.9440979957580566,,
,,0.002,0.002,201,,,
0,,,,201,2.8523709774017334,,
,,0.002,0.002,202,,,
0,,,,202,2.6715309619903564,,
,,0.002,0.002,203,,,
0,,,,203,3.2722225189208984,,
,,0.002,0.002,204,,,
0,,,,204,3.807586431503296,,
,,0.002,0.002,205,,,
0,,,,205,2.6290061473846436,,
,,0.002,0.002,206,,,
0,,,,206,4.062511920928955,,
,,0.002,0.002,207,,,
0,,,,207,1.8236864805221558,,
,,0.002,0.002,208,,,
0,,,,208,3.412546396255493,,
,,0.002,0.002,209,,,
0,,,,209,4.7445783615112305,,
,,0.002,0.002,210,,,
0,,,,210,2.3620121479034424,,
,,0.002,0.002,211,,,
0,,,,211,2.9526965618133545,,
,,0.002,0.002,212,,,
0,,,,212,2.1501731872558594,,
,,0.002,0.002,213,,,
0,,,,213,3.213613986968994,,
,,0.002,0.002,214,,,
0,,,,214,3.419231414794922,,
,,0.002,0.002,215,,,
0,,,,215,3.6278023719787598,,
,,0.002,0.002,216,,,
0,,,,216,2.215667486190796,,
